Country,Code (alpha-3),Renewable energy production (%),Renewable hydropower (GWh),Renewable municipal waste (GWh),Geothermal energy (GWh),Natural gas (GWh),Nuclear (GWh),Other non-renewable energy (GWh),Wind energy (GWh),Solar Energy (GWh),Biofuels (GWh),Fossil fuels and peat (GWh)
Afghanistan,AFG,79.48,849.791,0.0,0.0,0.0,0.0,0.0,0.123,78.786,0.0,257.78
Åland Islands,ALA,,,,,,,,,,,
Albania,ALB,100.0,8921.94,0.0,0.0,0.0,0.0,0.0,0.0,40.77,0.0,0.0
Algeria,DZA,0.91,9.0,0.0,0.0,84452.0,0.0,0.0,11.0,760.11,0.0,277.0
American Samoa,ASM,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.831,0.0,169.541
Andorra,AND,93.34,78.827,16.897,0.0,6.923,0.0,0.0,0.0,1.259,0.0,0.0
Angola,AGO,73.7,13801.672,0.0,0.0,58.081,0.0,0.0,0.0,2.069,200.0,4938.083
Anguilla,AIA,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.683,0.0,105.812
Antarctica,ATA,,,,,,,,,,,
Antigua and Barbuda,ATG,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.251,0.0,337.791
Argentina,ARG,26.74,20148.871,0.0,0.0,84548.497,10830.724,0.0,12937.55,2203.869,3825.663,9157.079000000002
Armenia,ARM,30.54,2201.7,0.0,0.0,3383.7,1998.4,0.0,1.5,163.5,0.0,0.0
Aruba,ABW,14.8,0.0,0.0,0.0,0.0,0.0,0.0,133.054,23.882,0.0,903.612
Australia,AUS,26.5,15200.0,0.0,0.0,49783.0,0.0,0.0,24535.0,27717.0,3347.0,144973.0
Austria,AUT,74.56,42539.793000000005,354.487,0.031,10617.882,0.0,725.518,6740.042,2782.602,4125.170999999999,2866.768
Azerbaijan,AZE,5.8,1277.3,193.2,0.0,25635.8,0.0,0.0,91.4,55.2,0.0,634.9
Bahamas,BHS,0.48,,,,,,,,,,
Bahrain,BHR,0.04,0.0,0.0,0.0,33363.962,0.0,0.0,1.2,11.639,0.0,0.0
Bangladesh,BGD,1.81,734.421,0.0,0.0,50152.218,0.0,0.0,5.081,612.685,3.8600000000000003,39903.93
Barbados,BRB,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.056,87.863,0.0,1112.338
Belarus,BLR,3.37,370.0,0.0,0.0,34686.0,338.0,14.0,173.0,173.8,580.8,2163.0
Belgium,BEL,22.62,1349.8000000000002,936.6,0.0,22516.7,50326.2,1757.2,11997.599999999999,5618.1,3754.3,2208.9
Belize,BLZ,92.86,157.326,0.0,0.0,0.0,0.0,0.0,0.035,9.779,270.239,33.627
Benin,BEN,0.22,0.072,0.0,0.0,1015.731,0.0,0.0,0.0,2.837,0.0,324.565
Bermuda,BMU,,,,,,,,,,,
Bhutan,BTN,100.0,10822.292,0.0,0.0,0.0,0.0,0.0,0.389,0.48,0.0,0.001
Bolivia (Plurinational State of),BOL,38.25,3236.829,0.0,0.0,6039.012,0.0,0.0,119.623,350.531,454.798,678.665
"Bonaire, Sint Eustatius and Saba",BES,24.14,0.0,0.0,0.0,0.0,0.0,0.0,28.759,8.941,0.0,118.5
Bosnia and Herzegovina,BIH,38.77,6796.0,0.0,0.0,5.0,0.0,0.0,382.0,72.0,42.0,11239.0
Botswana,BWA,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.128,0.0,2579.5
Bouvet Island,BVT,,,,,,,,,,,
Brazil,BRA,77.37,362818.495,77.33,0.0,86958.0,14705.0,7369.0,72285.975,16760.829,55723.998999999996,39497.0
British Indian Ocean Territory,IOT,,,,,,,,,,,
Brunei Darussalam,BRN,0.03,0.0,0.0,0.0,4401.561,0.0,0.0,0.0,1.121,0.0,48.884
Bulgaria,BGR,21.67,5067.133,0.0,0.0,3045.672,16486.894,35.303,1433.561,1466.598,2588.8920000000003,17444.042999999998
Burkina Faso,BFA,27.37,135.016,0.0,0.0,0.0,0.0,0.0,0.0,97.6,1.3,620.6
Burundi,BDI,61.3,270.291,0.0,0.0,0.0,0.0,0.0,0.0,2.334,5.548,175.59
Cabo Verde,CPV,18.27,0.0,0.0,0.0,0.0,0.0,0.0,73.784,6.884,0.0,360.98
Cambodia,KHM,58.95,5043.94,0.0,0.0,0.0,0.0,0.0,0.3,637.227,75.47,4009.24
Cameroon,CMR,79.27,5089.9,0.0,0.0,1016.689,0.0,0.0,0.0,19.672,0.0,319.4638
Canada,CAN,67.45,382867.0,169.0,0.0,77279.0,92629.0,546.0,34753.0,6043.0,9959.0,38729.0
Cayman Islands,CYM,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.547,0.0,711.614
Central African Republic,CAF,96.47,,,,,,,,,,
Chad,TCD,5.59,0.0,0.0,0.0,225.64,0.0,0.0,8.9,1.261,9.111,100.0
Chile,CHL,48.89,18072.273,0.0,325.519,15488.217,0.0,0.0,7628.098,10683.922,5611.169,28749.223
China,CHN,28.18,1340106.5,45900.0,143.5,251000.0,407500.0,45900.0,656205.143,327551.088,71900.0,4967300.0
Christmas Island,CXR,,0.0,,,,,,,,,
Cocos (Keeling) Islands,CCK,,0.0,,,,,,,,,
Colombia,COL,75.38,60716.674999999996,0.0,0.0,12288.483,0.0,0.0,60.0,529.525,1839.049,8333.184
Comoros,COM,0.0,,,,,,,,,,
Congo,COG,40.66,,,,,,,,,,
"Congo, Democratic Republic of the",COD,,,,,,,,,,,
Cook Islands,COK,21.14,,,,,,,,,,
Costa Rica,CRI,99.98,9287.359,0.0,1601.729,0.0,0.0,0.0,1573.311,107.394,86.553,2.86
Côte d'Ivoire,CIV,,,,,,,,,,,
Croatia,HRV,69.22,7228.7,0.0,89.7,3095.5,0.0,0.0,2061.8,148.9,1099.8,1486.0
Cuba,CUB,5.12,123.029,0.0,0.0,1580.4,0.0,320.2,43.5,218.077,541.819,15277.442
Curaçao,CUW,,,,,,,,,,,
Cyprus,CYP,15.13,0.0,0.0,0.0,0.0,0.0,0.0,246.478,468.338,59.94,4344.667
Czechia,CZE,12.59,3619.924,127.29,0.0,7291.373,30731.18,237.347,601.534,2315.964,5257.371999999999,34899.796
Denmark,DNK,78.96,16.294,971.05,0.0,1536.049,0.0,794.495,16054.467,1308.929,7745.169,4622.33
Djibouti,DJI,35.35,0.0,0.0,0.0,0.0,0.0,0.0,69.4,0.6,0.0,128.0
Dominica,DMA,20.28,19.822,0.0,0.0,0.0,0.0,0.0,0.595,0.178,0.0,80.94
Dominican Republic,DOM,16.96,,,,,,,,,,
Ecuador,ECU,81.0,25562.889,0.0,0.0,983.6273,0.0,0.0,62.011,36.87,414.929,5134.8307
Egypt,EGY,12.33,14769.0,0.0,0.0,170022.026,0.0,0.0,5269.445,4972.5,277.211,9749.374
El Salvador,SLV,86.01,1825.204,0.0,1559.104,0.0,0.0,0.0,131.785,1643.19,903.965,986.484
Equatorial Guinea,GNQ,11.95,127.0,0.0,0.0,533.573,0.0,0.0,0.0,0.225,0.0,403.501
Eritrea,ERI,5.01,0.0,0.0,0.0,0.0,0.0,0.0,1.445,20.674,0.0,419.0
Estonia,EST,39.95,23.0,58.423,0.0,41.35,0.0,92.148,733.0,353.67,1710.44,4192.428
Eswatini,SWZ,99.78,258.65,0.0,0.0,0.0,0.0,0.0,0.0,1.199,200.37,1.0
Ethiopia,ETH,100.0,14942.83,0.0,0.0,0.0,0.0,0.0,817.201,33.895,23.391,0.0
Falkland Islands (Malvinas),FLK,26.44,0.0,0.0,0.0,0.0,0.0,0.0,4.252,0.123,0.0,13.927
Faroe Islands,FRO,38.08,100.323,0.0,0.0,0.0,0.0,0.0,54.1,0.177,6.8,262.4
Fiji,FJI,60.07,548.377,0.0,0.0,0.0,0.0,0.0,0.293,11.925,96.741,437.026
Finland,FIN,52.93,15791.129,582.0,0.0,3826.0,23598.0,766.0,8506.734,297.518,12997.0,5756.0
France,FRA,22.04,64439.567,2128.265,100.308,33355.004,379361.292,2786.528,36831.352,15732.436,7475.725,13072.636999999999
French Guiana,GUF,69.08,586.117,0.0,0.0,0.0,0.0,0.0,0.0,56.535,45.481,307.951
French Polynesia,PYF,23.73,144.184,0.0,0.0,0.0,0.0,0.0,0.078,3.8,0.0,475.82
French Southern Territories,ATF,,,,,,,,,,,
Gabon,GAB,53.95,982.387,0.0,0.0,681.0,0.0,0.0,0.0,0.68,1.22,159.0
Gambia,GMB,1.6,,,,,,,,,,
Georgia,GEO,81.22,10182.1,0.0,0.0,2379.6,0.0,0.0,83.4,23.325,0.0,0.0
Germany,DEU,39.23,24973.0,5804.0,244.0,95126.0,69130.0,8385.0,114647.0,49340.0,41107.2,179587.0
Ghana,GHA,34.8,7521.0,0.0,0.0,10866.416,0.0,0.0,0.035,148.827,19.72,3541.584
Gibraltar,GIB,,,,,,,,,,,
Greece,GRC,40.46,5961.439,0.0,0.0,22488.0,0.0,42.027,10482.981,5250.978,499.20500000000004,9990.499
Greenland,GRL,77.04,432.601,14.184,0.0,0.0,0.0,14.184,0.033,0.517,0.0,119.122
Grenada,GRD,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.224,4.373,0.0,228.913
Guadeloupe,GLP,33.84,11.442,0.0,84.033,0.0,0.0,0.0,106.68,113.803,247.368,1101.423
Guam,GUM,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,83.197,0.0,1659.772
Guatemala,GTM,73.31,5960.293,0.0,264.968,13.898,0.0,0.0,323.795,241.14,2602.5769999999998,3405.57
Guernsey,GGY,,0.0,,,,,,0.0,0.0,0.0,0.0
Guinea,GIN,88.13,2644.514,0.0,0.0,0.0,0.0,0.0,0.0,22.525,0.0,359.136
Guinea-Bissau,GNB,7.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,0.0,24.784
Guyana,GUY,7.11,0.005,0.0,0.0,0.0,0.0,0.0,0.35,13.587,72.111,1125.0
Haiti,HTI,18.22,200.257,0.0,0.0,0.0,0.0,0.0,0.065,4.473,0.0,919.344
Heard Island and McDonald Islands,HMD,,,,,,,,,,,
Holy See,VAT,,,,,,,,,,,
Honduras,HND,62.69,3776.7200000000003,0.0,348.197,0.0,0.0,0.0,778.078,1087.597,1195.233,4250.127
Hong Kong,HKG,,,,,,,,,,,
Hungary,HUN,19.14,212.0,161.0,12.0,9653.0,15990.0,398.0,664.0,3796.0,2070.0,3164.3
Iceland,ISL,99.99,13803.999,0.0,5801.648,0.0,0.0,0.0,6.087,5.419,0.0,2.464
India,IND,18.89,161548.464,1577.712,0.0,68487.5,44049.75,1577.712,62272.48,65941.659,21732.963,1204204.0
Indonesia,IDN,18.1,24697.0,5.5,15899.0,55415.0,0.0,5.5,7.7,192.62,14965.0,196880.0
Iran (Islamic Republic of),IRN,4.19,13890.932,0.0,0.0,308760.327,5462.0,0.0,586.835,583.868,22.341,30316.673
Iraq,IRQ,5.27,4163.976,0.0,0.0,54227.0,0.0,0.0,0.0,376.545,0.0,27314.465
Ireland,IRL,36.44,1035.581,351.847,0.0,15155.53,0.0,321.603,9775.912,92.98,643.425,4495.549
Isle of Man,IMN,,,,,,,,,,,
Israel,ISR,7.62,0.0,0.0,0.0,50956.0,0.0,214.0,178.0,5350.0,103.054,17097.0
Italy,ITA,40.25,47478.56,2308.289,5913.787,143997.93,0.0,2958.301,20927.303,25051.465,16762.479,23684.093
Jamaica,JAM,12.76,137.69,0.0,0.0,2563.17,0.0,0.0,264.55,132.252,16.9,1206.34
Japan,JPN,20.14,88826.0,1855.0,3008.0,359421.0,70805.0,36798.0,9429.0,86094.0,32317.0,361358.0
Jersey,JEY,,,,,,,,,,,
Jordan,JOR,24.22,18.3,0.0,0.0,15970.0,0.0,0.0,1590.0,3712.973,3.5,690.0
Kazakhstan,KAZ,11.0,9208.472,0.0,0.0,30706.287,0.0,0.0,1776.41,1641.09,29.947000000000003,71729.79400000001
Kenya,KEN,88.13,3781.155,0.0,5182.69,0.0,0.0,0.0,82.8,422.205,194.602,1301.43
Kiribati,KIR,16.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,0.0,27.75
Korea (Democratic People's Republic of),PRK,,,,,,,,,,,
"Korea, Republic of",KOR,,,,,,,,,,,
Kuwait,KWT,0.26,0.0,0.0,0.0,46998.233,0.0,0.0,70.676,143.39499999999998,0.0,33570.767
Kyrgyzstan,KGZ,85.59,12957.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2180.903
Lao People's Democratic Republic,LAO,69.32,,,,,,,,,,
Latvia,LVA,63.59,2707.796,0.0,0.0,2128.384,0.0,0.0,141.436,6.797,861.794,0.014
Lebanon,LBN,3.49,378.767,0.0,0.0,0.0,0.0,0.0,0.0,111.712,32.175,14433.269
Lesotho,LSO,99.79,531.415,0.0,0.0,0.761,0.0,0.0,0.0,0.783,0.0,0.38
Liberia,LBR,57.42,128.25,0.0,0.0,0.0,0.0,0.0,0.0,3.624,0.289,98.0
Libya,LBY,0.02,0.0,0.0,0.0,23248.0,0.0,0.0,0.0,7.791,0.0,11373.0
Liechtenstein,LIE,,,,,,,,,,,
Lithuania,LTU,51.62,1093.9,142.1,0.0,1221.4,0.0,430.2,1361.7,190.8,543.4,95.1
Luxembourg,LUX,44.77,1084.772,42.574,0.0,173.127,0.0,70.056,314.313,180.188,346.045,0.001
Macao,MAC,,,,,,,,,,,
Madagascar,MDG,42.83,799.849,0.0,0.0,0.0,0.0,0.0,0.465,55.563,0.615,1143.3410000000001
Malawi,MWI,80.06,1691.881,0.0,0.0,0.0,0.0,0.0,0.0,128.3,49.181,465.727
Malaysia,MYS,17.84,27302.291,9.844,0.0,52850.0,0.0,11.876,0.0,430.055,2854.7259999999997,88020.0
Maldives,MDV,5.82,0.0,0.026,0.0,0.0,0.0,0.026,2.465,46.208,0.0,788.0
Mali,MLI,62.29,1702.191,0.0,0.0,0.0,0.0,0.0,0.0,94.701,77.81,1134.771
Malta,MLT,11.88,0.0,0.0,0.0,1906.95,0.0,0.0,0.058,255.946,7.233,44.868
Marshall Islands,MHL,2.43,0.0,,,,,,0.0,0.0,0.0,0.0
Martinique,MTQ,25.96,0.0,4.45,0.0,0.0,0.0,4.5,48.687,90.785,248.892,1115.795
Mauritania,MRT,19.36,0.0,0.0,0.0,0.0,0.0,0.0,131.194,140.014,0.0,1130.0
Mauritius,MUS,21.63,108.308,0.0,0.0,0.0,0.0,0.0,15.4,156.337,368.7,2349.9
Mayotte,MYT,12.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.45,0.0,323.41
Mexico,MEX,21.07,34717.16,0.0,4242.9,222752.0,11923.0,3222.0,21074.87,20254.478,1612.251,68984.0
Micronesia (Federated States of),FSM,4.95,1.27,0.0,0.0,0.0,0.0,0.0,0.0,3.161,0.0,85.106
"Moldova, Republic of",MDA,,,,,,,,,,,
Monaco,MCO,,,,,,,,,,,
Mongolia,MNG,10.27,85.093,0.0,0.0,0.0,0.0,1.0,564.008,164.694,0.0,7109.6
Montenegro,MNE,61.76,2010.1,0.0,0.0,0.0,0.0,0.0,320.1,2.5,0.0,1444.1
Montserrat,MSR,10.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.606,0.0,14.0
Morocco,MAR,18.93,1212.652,0.0,0.0,3462.584,0.0,0.0,5121.912,1847.806,40.061,29657.678
Mozambique,MOZ,84.52,15477.008,0.0,0.0,2690.3,0.0,0.0,0.0,71.342,54.751,167.4
Myanmar,MMR,46.4,11891.0,1.332,0.0,11683.368,0.0,1.332,0.02,86.19,254.98100000000002,2448.56
Namibia,NAM,90.73,874.9,0.0,0.0,0.0,0.0,0.0,21.625,436.55,0.219,136.251
Nauru,NRU,9.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,0.0,42.953
Nepal,NPL,100.0,7917.835,0.0,0.0,0.0,0.0,0.0,0.349,86.14,12.665,0.043
Netherlands,NLD,33.14,,,,,,,,,,
New Caledonia,NCL,22.48,424.917,0.0,0.0,0.0,0.0,0.0,41.042,187.647,0.455,2255.827
New Zealand,NZL,81.44,24232.0,0.0,8447.0,4975.0,0.0,46.0,2642.0,207.0,801.0,3258.0
Nicaragua,NIC,69.3,599.026,0.0,734.032,0.0,0.0,0.0,655.838,27.271,912.255,1297.54
Niger,NER,8.1,,,,,,,,,,
Nigeria,NGA,25.34,9153.807,0.0,0.0,27436.083,0.0,0.0,0.0,101.691,62.111,17.45
Niue,NIU,13.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469,0.0,2.922
Norfolk Island,NFK,,,,,,,,,,,
North Macedonia,MKD,30.67,1451.623,0.0,0.0,1547.5,0.0,0.0,103.336,104.043,53.818,2324.232
Northern Mariana Islands,MNP,,,,,,,,,,,
Norway,NOR,98.82,144338.94000000003,193.762,0.0,305.429,0.0,561.845,11769.184,174.527,30.348,592.3679999999999
Oman,OMN,1.9,0.0,0.0,0.0,40844.914,0.0,0.0,118.909,683.523,0.0,595.007
Pakistan,PAK,29.8,37526.373,0.0,0.0,0.0,14752.5,0.0,3480.772,1164.816,3010.88,91696.0
Palau,PLW,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.472,0.0,92.739
"Palestine, State of",PSE,,,,,,,,,,,
Panama,PAN,81.72,8154.34,0.0,0.0,1554.01,0.0,0.0,530.24,657.481,254.66,592.43
Papua New Guinea,PNG,53.1,1010.733,0.0,96.0,768.782,0.0,0.0,0.0,5.287,32.495,950.945
Paraguay,PRY,100.0,40574.3,0.0,0.0,0.0,0.0,0.0,0.035,0.752,272.734,1.99
Peru,PER,61.67,31925.681,0.0,0.0,20066.326,0.0,2.672,1822.575,861.181,593.113,1811.483
Philippines,PHL,21.91,,,,,,,,,,
Pitcairn,PCN,,,,,,,,,,,
Poland,POL,17.03,3100.777,353.807,0.0,15823.706,0.0,662.995,16233.547,3934.448,7740.978000000001,131814.76200000002
Portugal,PRT,61.87,13454.628999999999,343.366,178.549,15573.85,0.0,285.46,13215.614,2237.164,3659.189,2031.74
Puerto Rico,PRI,4.58,39.708,0.0,0.0,8201.9,0.0,0.0,165.69,678.76,13.6,10508.88
Qatar,QAT,0.27,0.0,106.096,0.0,51641.0,0.0,134.388,0.0,8.364,28.292,0.0
Réunion,REU,,,,,,,,,,,
Romania,ROU,44.3,17745.007999999998,0.0,0.0,9907.009,11284.32,0.006,6575.55,1703.35,652.799,11602.222000000002
Russian Federation,RUS,21.58,,,,,,,,,,
Rwanda,RWA,58.25,557.092,0.0,0.0,212.888,0.0,0.0,0.0,36.058,2.191,213.875
Saint Barthélemy,BLM,,,,,,,,,,,
"Saint Helena, Ascension and Tristan da Cunha",SHN,,,,,,,,,,,
Saint Kitts and Nevis,KNA,4.52,0.0,0.0,0.0,0.0,0.0,0.0,5.576,4.759,0.0,218.082
Saint Lucia,LCA,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.558,2.628,390.218
Saint Martin (French part),MAF,,,,,,,,,,,
Saint Pierre and Miquelon,SPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.703
Saint Vincent and the Grenadines,VCT,15.02,19.221,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,121.953
Samoa,WSM,49.14,46.85,0.0,0.0,0.0,0.0,0.0,0.199,23.008,10.0,82.862
San Marino,SMR,,,,,,,,,,,
Sao Tome and Principe,STP,6.06,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.0,96.334
Saudi Arabia,SAU,0.07,0.0,0.0,0.0,236768.187,0.0,0.0,5.694,261.256,0.0,169180.59
Senegal,SEN,12.54,0.0,0.0,0.0,6.38,0.0,0.0,399.86,381.439,66.7,3227.6510000000003
Serbia,SRB,33.11,11984.226999999999,0.0,0.0,1069.254,0.0,5.362,1084.541,59.399,247.27100000000002,23831.352000000003
Seychelles,SYC,4.51,0.0,0.0,0.0,0.0,0.0,0.0,5.079,14.974,0.0,424.119
Sierra Leone,SLE,75.28,228.167,0.0,0.0,0.0,0.0,0.0,0.0,6.176,9.303,80.0
Singapore,SGP,4.06,0.006,418.4,0.0,52943.8,0.0,418.4,0.35,561.0,223.2,1227.4
Sint Maarten (Dutch part),SXM,,,,,,,,,,,
Slovakia,SVK,22.58,4552.0,32.0,0.0,4366.0,15730.0,228.0,5.0,671.0,1812.0,2620.0
Slovenia,SVN,34.32,4997.067,0.0,0.0,521.305,5705.951,10.641,5.593,453.113,277.48299999999995,3905.769
Solomon Islands,SLB,6.56,0.891,0.0,0.0,0.0,0.0,0.0,0.0,3.134,2.756,96.65
Somalia,SOM,11.21,0.0,0.0,0.0,0.0,0.0,0.0,6.22,36.719,0.0,340.0
South Africa,ZAF,5.16,6580.773999999999,0.0,0.0,0.0,11742.0,0.0,266.0,8526.156,409.7,186055.569
South Georgia and the South Sandwich Islands,SGS,,0.751,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0
South Sudan,SSD,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.917,0.0,547.0
Spain,ESP,45.84,32866.0,854.551,0.0,71502.0,56564.0,1220.449,62061.0,27098.0,6088.0,16058.0
Sri Lanka,LKA,51.29,7215.493,35.006,0.0,0.0,0.0,35.006,645.2,640.065,92.858,8190.231
Sudan,SDN,60.79,,,,,,,,,,
Suriname,SUR,53.68,847.336,0.0,0.0,0.0,0.0,0.0,0.0,12.592,6.0,742.079
Svalbard and Jan Mayen,SJM,,,,,,,,,,,
Sweden,SWE,67.37,73926.0,1813.0,0.0,282.0,52965.0,1680.0,27244.0,1526.0,11269.0,1093.0
Switzerland,CHE,63.62,39895.0,1108.0,0.0,505.0,19364.0,1192.0,146.0,2842.0,958.0,32.0
Syrian Arab Republic,SYR,3.28,,,,,,,,,,
"Taiwan, Province of China",TWN,,,,,,,,,,,
Tajikistan,TJK,92.77,19347.976,0.0,0.0,627.489,0.0,0.0,0.0,0.0,0.0,879.61
"Tanzania, United Republic of",TZA,,,,,,,,,,,
Thailand,THA,18.75,4786.630999999999,195.152,1.45,113112.859,0.0,195.152,3555.921,5016.624000000001,23064.128,36780.997
Timor-Leste,TLS,0.41,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.551,0.0,555.208
Togo,TGO,20.66,85.58,0.0,0.0,591.943,0.0,0.0,0.0,72.548,0.0,15.274
Tokelau,TKL,92.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.226,0.0,0.105
Tonga,TON,14.2,0.0,0.0,0.0,0.0,0.0,0.0,2.626,7.862,0.0,63.383
Trinidad and Tobago,TTO,0.07,0.0,0.0,0.0,9166.371,0.0,38.586,0.027,6.228,0.0,56.744
Tunisia,TUN,2.9,28.2,0.0,0.0,20658.9,0.0,0.0,425.1,164.001,0.0,0.405
Turkey,TUR,,,,,,,,,,,
Turkmenistan,TKM,0.01,3.154,0.0,0.0,23730.12,0.0,0.0,0.0,0.0,0.0,0.0
Turks and Caicos Islands,TCA,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.962,0.0,263.0
Tuvalu,TUV,15.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.528,0.0,8.137
Uganda,UGA,97.84,4279.218,0.0,0.0,0.0,0.0,0.0,0.0,140.274,329.364,104.954
Ukraine,UKR,11.44,7563.8,0.0,0.0,14194.8,76202.7,129.1,3510.607,7141.437,755.4,40292.6
United Arab Emirates,ARE,4.19,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,GBR,,,,,,,,,,,
United States of America,USA,19.8,,,,,,,,,,
United States Minor Outlying Islands,UMI,,,,,,,,,,,
Uruguay,URY,84.53,5272.828,0.0,0.0,6.027,0.0,0.0,4991.309,483.444,2744.806,2463.426
Uzbekistan,UZB,7.74,5000.0,0.0,0.0,47376.406,0.0,0.0,1.2,49.0,0.0,12795.394
Vanuatu,VUT,25.49,8.485,0.0,0.0,0.0,0.0,0.0,4.13,7.284,0.0,59.21
Venezuela (Bolivarian Republic of),VEN,84.24,62515.74,0.0,0.0,11656.323,0.0,0.0,89.43,8.647,0.0,54.2
Viet Nam,VNM,42.79,75840.004,31.799,0.0,25607.0,0.0,31.799,2393.2,25717.49,348.61400000000003,113866.0
Virgin Islands (British),VGB,,,,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,
Wallis and Futuna,WLF,,,,,,,,,,,
Western Sahara,ESH,,,,,,,,,,,
Yemen,YEM,16.88,0.0,0.0,0.0,410.0,0.0,0.0,0.0,497.396,0.0,2039.0
Zambia,ZMB,92.02,16074.883,0.0,0.0,0.0,0.0,0.0,0.0,160.558,74.526,1415.263
Zimbabwe,ZWE,71.26,6014.76,0.0,0.0,0.0,0.0,0.0,0.0,59.232,142.999,2507.79
