Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Algeria,DZA,2022,0.0,,1.7774663,0.027374918,0.20017584,0.0,442.74997,1.4969789,238.61775
Angola,AGO,2022,,,,,,0.0,,,
Argentina,ARG,2022,7.472752,13.931288,7.658984,36.92865,62.283165,18.686522,456.82983,14.398857,382.78323
Australia,AUS,2022,10.361164,1.3312569,101.26366,82.522026,44.642174,0.0,416.2641,430.7635,574.04034
Austria,AUT,2022,14.990222,4.775016,8.391033,18.889414,92.646835,0.0,79.12825,28.291656,134.47852
Azerbaijan,AZE,2022,0.32767972,,0.15877444,0.21717444,4.1578584,0.0,121.01472,0.0015555555,68.31462
Bahrain,BHR,2022,,,,,,0.0,,,
Bangladesh,BGD,2022,0.012288249,,1.7145659,0.01324686,2.0205986,0.0,291.9801,49.94223,152.81989
Belarus,BLR,2022,0.83854747,0.0,0.74311584,0.47971362,0.8942472,11.733422,184.62439,10.721621,86.813835
Belgium,BEL,2022,14.243444,8.970747,17.65261,31.04347,0.82290024,109.40878,145.53444,31.991251,320.9896
Bolivia,BOL,2022,,,,,,0.0,,,
Brazil,BRA,2022,168.46057,241.95108,78.54375,212.8245,1113.5426,36.423683,319.7619,162.66177,1390.6998
Brunei,BRN,2022,,,,,,0.0,,,
Bulgaria,BGR,2022,7.1145124,3.2159445,5.223541,3.9064748,9.8225155,41.152412,27.0345,72.74707,61.559875
Canada,CAN,2022,27.197453,23.494785,15.6783495,97.83473,1038.782,216.76048,1216.2826,107.23305,1185.2417
Chad,TCD,2022,,,,,,0.0,,,
Chile,CHL,2022,19.564188,,37.69042,24.41743,58.003117,0.0,74.59519,61.168365,221.37302
China,CHN,2022,563.745,27.87439,1115.1132,1988.4497,3397.4243,1045.2504,3757.0474,24559.486,7821.5244
Colombia,COL,2022,9.274501,9.490787,1.31032,0.19522221,167.73596,0.0,125.85035,28.492508,266.99402
Congo,COG,2022,,,,,,0.0,,,
Croatia,HRV,2022,3.8132799,1.1046788,0.4209197,5.9938273,14.132496,0.0,24.369545,4.7832775,39.967175
Cuba,CUB,2022,,,,,,0.0,,,
Curacao,CUW,2022,,,,,,0.0,,,
Cyprus,CYP,2022,0.12434916,0.2566361,1.6706963,0.58469164,,0.0,,0.3808161,28.720387
Czechia,CZE,2022,17.368568,3.9893887,5.9847517,1.6720064,5.4566164,77.61024,73.764496,163.59177,114.83884
Democratic Republic of Congo,COD,2022,,,,,,0.0,,,
Denmark,DNK,2022,23.934357,2.9534056,5.055607,49.540455,0.038200554,0.0,16.985794,11.995051,78.893745
Ecuador,ECU,2022,1.2439064,0.17959584,0.10037472,0.15799223,64.22718,0.0,5.497367,0.79980165,146.51048
Egypt,EGY,2022,0.0,,13.101806,13.409331,35.967506,0.0,607.4758,14.265933,421.2479
Equatorial Guinea,GNQ,2022,,,,,,0.0,,,
Estonia,EST,2022,5.602468,0.48247665,1.5440466,1.7236431,0.061111663,0.0,3.621307,34.026913,14.606459
Finland,FIN,2022,44.665688,13.63936,0.8207094,31.0348,35.616962,63.147774,10.825556,33.928883,93.03671
France,FRA,2022,31.36681,41.439148,52.484104,99.09144,116.24238,737.35693,383.71768,59.457893,808.74945
Gabon,GAB,2022,,,,,,0.0,,,
Germany,DEU,2022,160.80095,34.682938,158.4799,326.6401,45.62486,86.81232,772.8999,647.22217,1183.1235
Greece,GRC,2022,1.6170915,2.3262756,18.649336,28.364248,11.863254,0.0,61.967,20.013203,171.01018
Hong Kong,HKG,2022,0.2843786,0.4111111,0.1361836,0.0026749193,0.0,0.0,45.14507,41.76583,130.57237
Hungary,HUN,2022,6.584491,3.4875426,12.121247,1.5760597,0.45936668,39.559464,91.7925,13.812908,96.33963
Iceland,ISL,2022,14.820913,0.23401943,0.0,0.0149466945,36.95804,0.0,,0.0,9.825832
India,IND,2022,130.06546,36.197903,248.08994,182.61719,456.0515,115.569664,581.8393,5581.4287,2791.5835
Indonesia,IDN,2022,107.5489,96.635666,0.7814363,0.9281399,71.16174,0.0,370.14996,1216.5106,851.1989
Iran,IRN,2022,0.071122214,,1.9052374,3.2499468,19.432703,16.427147,2289.1401,21.138962,1025.3413
Iraq,IRQ,2022,0.0,,1.1008552,0.0,8.58532,0.0,188.67082,,442.0336
Ireland,IRL,2022,3.301831,3.09724,0.35339305,29.590975,1.8422122,0.0,51.999706,11.8059635,87.68827
Israel,ISR,2022,0.38306445,0.63189834,18.494232,0.08995583,0.061214443,0.0,112.869095,43.436695,128.10995
Italy,ITA,2022,72.0534,12.217361,71.74867,53.869656,73.41612,0.0,652.6924,84.7727,686.0149
Japan,JPN,2022,130.97401,5.7584414,266.96536,21.308592,195.23007,129.52798,1004.9831,1365.5248,1835.9253
Kazakhstan,KAZ,2022,0.0065835277,0.0,4.4195566,6.5975223,24.002531,0.0,217.13852,398.66843,216.29573
Kuwait,KWT,2022,0.0,,0.54571664,0.01239425,,0.0,217.85663,1.2527883,223.79607
Latvia,LVA,2022,2.5566194,0.4201811,0.017720694,0.5076891,7.172395,0.0,8.10425,0.23761277,20.65343
Libya,LBY,2022,,,,,,0.0,,,
Lithuania,LTU,2022,0.92929417,1.3247322,0.53804886,3.9424224,1.2167252,0.0,16.07382,2.233781,37.407913
Luxembourg,LUX,2022,1.1368757,1.4854031,0.56462026,0.87258554,0.1801947,0.0,6.122363,0.5143739,28.196154
Madagascar,MDG,2022,,,,,,0.0,,,
Malaysia,MYS,2022,3.681926,13.967012,7.093971,0.0,84.758446,0.0,493.81924,260.54477,479.6467
Mexico,MEX,2022,17.999012,2.7225404,50.24874,52.969234,93.12104,27.143528,965.85693,69.78955,1143.8988
Mongolia,MNG,2022,,,,,,0.0,,,
Morocco,MAR,2022,0.0,,3.774472,13.963497,0.9130494,0.0,2.2269576,77.66616,158.23444
Mozambique,MOZ,2022,,,,,,0.0,,,
Myanmar,MMR,2022,,,,,,0.0,,,
Netherlands,NLD,2022,30.343346,9.71848,46.082966,55.14566,0.13056861,10.402621,271.4722,64.5,495.80264
New Caledonia,NCL,2022,,,,,,0.0,,,
New Zealand,NZL,2022,23.629522,0.06255028,0.7258811,7.470776,68.47338,0.0,36.21647,12.718105,83.72641
Nigeria,NGA,2022,,,,,,0.0,,,
North Macedonia,MKD,2022,0.115561105,0.0009866667,0.0863875,0.28067362,3.5074174,0.0,2.6549218,8.317619,14.085165
Norway,NOR,2022,0.8627694,4.373741,0.71207887,38.641563,332.69702,0.0,39.87285,9.335043,100.233475
Oman,OMN,2022,0.0,,3.8151662,0.30998832,,0.0,285.14288,0.97774804,125.06003
Pakistan,PAK,2022,2.8633094,,2.3210225,12.126243,91.35989,55.746376,383.859,177.12915,275.1417
Papua New Guinea,PNG,2022,,,,,,0.0,,,
Peru,PER,2022,2.470516,5.076874,2.3554876,5.035232,77.53704,0.0,96.20718,8.137307,138.07422
Philippines,PHL,2022,32.341362,6.900985,4.7832394,2.7908146,26.4419,0.0,30.803785,233.03395,248.41664
Poland,POL,2022,22.837029,12.417058,21.211647,50.687912,5.1308413,0.0,179.30151,501.4305,405.30524
Portugal,PRT,2022,11.715313,3.1996188,8.025395,34.76469,16.95607,0.0,56.06581,0.10467,126.9094
Qatar,QAT,2022,0.42782193,,1.0714253,0.0,,0.0,366.9616,0.11497805,154.87679
Romania,ROU,2022,2.0249407,4.3392453,4.6198425,18.265587,36.04607,27.742414,97.69295,45.835896,124.11909
Russia,RUS,2022,2.37415,3.6368332,6.253577,10.9527025,515.3433,559.64996,4080.4531,887.35596,1959.6976
Saudi Arabia,SAU,2022,0.0,,2.1674714,0.014804471,,0.0,1203.5773,1.2788855,1986.2809
Serbia,SRB,2022,,,,,,0.0,,,
Singapore,SGP,2022,3.2031868,,1.7395859,0.0,,0.0,130.59363,4.814323,738.5826
Slovakia,SVK,2022,6.7387576,1.9421482,1.7020355,0.013035666,9.3085985,39.768406,51.444206,29.302374,51.02409
Slovenia,SVN,2022,0.8411597,0.8722964,1.3990513,0.014947888,8.207861,14.023834,7.944912,8.296195,31.303457
South Africa,ZAF,2022,1.3731441,0.97420245,16.164234,25.289207,8.082117,25.268139,45.5819,920.3187,295.6305
South Korea,KOR,2022,55.35065,8.645742,70.31782,8.755021,9.232518,440.45123,619.28,798.56226,1519.4181
South Sudan,SSD,2022,,,,,,0.0,,,
Spain,ESP,2022,21.759003,15.479917,88.01281,163.47594,47.545746,146.59856,330.96942,46.911194,737.9466
Sri Lanka,LKA,2022,0.31106082,,2.6422856,1.281855,18.576773,0.0,,16.955885,55.150387
Sudan,SDN,2022,,,,,,0.0,,,
Sweden,SWE,2022,42.56046,20.69532,6.8608494,85.04774,181.87082,128.95059,7.3596416,20.314974,138.52837
Switzerland,CHE,2022,7.399307,1.817211,9.722893,0.3968144,77.08028,57.82401,29.644005,1.0277778,106.58899
Syria,SYR,2022,,,,,,0.0,,,
Taiwan,TWN,2022,6.321099,0.000489625,27.832035,9.236927,15.216603,59.42972,280.66354,439.27582,490.65298
Thailand,THA,2022,43.292442,20.923464,12.721238,8.9169445,17.204016,0.0,443.1806,197.55916,662.66675
Trinidad and Tobago,TTO,2022,0.0,,0.014443056,7.020028e-05,0.0,0.0,150.64699,0.0,13.571535
Tunisia,TUN,2022,,,,,,0.0,,,
Turkey,TUR,2022,57.255653,1.5230861,41.48884,91.616104,175.18874,0.0,512.2179,484.84363,583.70746
Turkmenistan,TKM,2022,0.0,,0.018145666,0.0,0.015075333,0.0,375.36435,,83.54991
Ukraine,UKR,2022,1.589966,0.55306333,13.252646,3.8162766,28.926935,155.28139,192.73332,144.07051,107.276596
United Arab Emirates,ARE,2022,0.023341917,,18.134716,0.00011732111,,50.297695,698.482,28.538933,607.2548
United Kingdom,GBR,2022,113.16647,20.605156,36.292698,208.99315,13.858746,119.393456,719.80096,58.722347,741.0432
United States,USA,2022,224.40579,433.8656,537.5174,1145.0632,674.0775,2031.8195,8812.123,2741.2214,10041.679
Uzbekistan,UZB,2022,0.0,,0.47976747,0.0031285556,13.8517065,0.0,483.17737,28.67892,60.048794
Venezuela,VEN,2022,0.0019798111,,0.00095029996,0.0461175,173.70929,0.0,291.77618,0.41601887,147.71938
Vietnam,VNM,2022,1.1521137,,68.750305,20.974154,250.1722,0.0,77.97199,569.2505,286.4904
World,OWID_WRL,2022,2413.8076,1199.2067,3448.2373,5487.6,11299.816,6702.3394,39413.043,44854.035,52969.59
Yemen,YEM,2022,,,,,,0.0,,,
Zambia,ZMB,2022,,,,,,0.0,,,
Zimbabwe,ZWE,2022,,,,,,0.0,,,
