Country,Code (alpha-3),Renewable energy production (%),Solar Photovoltaic (GWh),Solar Thermal (GWh),Onshore wind energy (GWh),Offshore wind energy (GWh),Renewable hydropower (GWh)
Afghanistan,AFG,79.48,78.786,0.0,0.123,0.0,849.791
Åland Islands,ALA,,,,,,
Albania,ALB,100.0,40.77,0.0,0.0,0.0,8921.94
Algeria,DZA,0.91,642.0,118.11,11.0,0.0,9.0
American Samoa,ASM,3.89,6.831,0.0,0.0,0.0,0.0
Andorra,AND,93.34,1.259,0.0,0.0,0.0,78.827
Angola,AGO,73.7,2.069,0.0,0.0,0.0,13801.672
Anguilla,AIA,2.47,2.683,0.0,0.0,0.0,0.0
Antarctica,ATA,,,,,,
Antigua and Barbuda,ATG,5.66,20.251,0.0,0.0,0.0,0.0
Argentina,ARG,26.74,2203.869,0.0,12937.55,0.0,19445.255
Armenia,ARM,30.54,163.5,0.0,1.5,0.0,2201.7
Aruba,ABW,14.8,23.882,0.0,133.054,0.0,0.0
Australia,AUS,26.5,27712.0,5.0,24535.0,0.0,14761.0
Austria,AUT,74.56,2782.602,0.0,6740.042,0.0,38751.33
Azerbaijan,AZE,5.8,55.2,0.0,91.4,0.0,1277.3
Bahamas,BHS,0.48,,,,,
Bahrain,BHR,0.04,11.639,0.0,1.2,0.0,0.0
Bangladesh,BGD,1.81,612.685,0.0,5.081,0.0,734.421
Barbados,BRB,7.33,87.863,0.0,0.056,0.0,0.0
Belarus,BLR,3.37,173.8,0.0,173.0,0.0,370.0
Belgium,BEL,22.62,5618.1,0.0,5071.4,6926.2,418.1
Belize,BLZ,92.86,9.779,0.0,0.035,0.0,157.326
Benin,BEN,0.22,2.837,0.0,0.0,0.0,0.072
Bermuda,BMU,,,,,,
Bhutan,BTN,100.0,0.48,0.0,0.389,0.0,10822.292
Bolivia (Plurinational State of),BOL,38.25,350.531,0.0,119.623,0.0,3236.829
"Bonaire, Sint Eustatius and Saba",BES,24.14,8.941,0.0,28.759,0.0,0.0
Bosnia and Herzegovina,BIH,38.77,72.0,0.0,382.0,0.0,6690.0
Botswana,BWA,0.24,6.128,0.0,0.0,0.0,0.0
Bouvet Island,BVT,,,,,,
Brazil,BRA,77.37,16760.829,0.0,72285.975,0.0,362818.451
British Indian Ocean Territory,IOT,,,,,,
Brunei Darussalam,BRN,0.03,1.121,0.0,0.0,0.0,0.0
Bulgaria,BGR,21.67,1466.598,0.0,1433.561,0.0,4819.205
Burkina Faso,BFA,27.37,97.6,0.0,0.0,0.0,135.016
Burundi,BDI,61.3,2.334,0.0,0.0,0.0,270.291
Cabo Verde,CPV,18.27,6.884,0.0,73.784,0.0,0.0
Cambodia,KHM,58.95,637.227,0.0,0.3,0.0,5043.94
Cameroon,CMR,79.27,19.672,0.0,0.0,0.0,5089.9
Canada,CAN,67.45,6043.0,0.0,34753.0,0.0,382756.0
Cayman Islands,CYM,2.94,21.547,0.0,0.0,0.0,0.0
Central African Republic,CAF,96.47,,,,,
Chad,TCD,5.59,1.261,0.0,8.9,0.0,0.0
Chile,CHL,48.89,10565.366,118.556,7628.098,0.0,18072.273
China,CHN,28.18,327530.274,20.814,603534.405,52670.738,1301700.0
Christmas Island,CXR,,,,,,
Cocos (Keeling) Islands,CCK,,,,,,
Colombia,COL,75.38,529.525,0.0,60.0,0.0,60497.041
Comoros,COM,0.0,,,,,
Congo,COG,40.66,,,,,
"Congo, Democratic Republic of the",COD,,,,,,
Cook Islands,COK,21.14,,,,,
Costa Rica,CRI,99.98,107.394,0.0,1573.311,0.0,9287.359
Côte d'Ivoire,CIV,,,,,,
Croatia,HRV,69.22,148.9,0.0,2061.8,0.0,7127.7
Cuba,CUB,5.12,218.077,0.0,43.5,0.0,123.029
Curaçao,CUW,,,,,,
Cyprus,CYP,15.13,468.338,0.0,246.478,0.0,0.0
Czechia,CZE,12.59,2315.964,0.0,601.534,0.0,2408.52
Denmark,DNK,78.96,1308.929,0.0,8461.63,7592.837,16.294
Djibouti,DJI,35.35,0.6,0.0,69.4,0.0,0.0
Dominica,DMA,20.28,0.178,0.0,0.595,0.0,19.822
Dominican Republic,DOM,16.96,,,,,
Ecuador,ECU,81.0,36.87,0.0,62.011,0.0,25562.889
Egypt,EGY,12.33,4493.5,479.0,5269.445,0.0,14769.0
El Salvador,SLV,86.01,1643.19,0.0,131.785,0.0,1825.204
Equatorial Guinea,GNQ,11.95,0.225,0.0,0.0,0.0,127.0
Eritrea,ERI,5.01,20.674,0.0,1.445,0.0,0.0
Estonia,EST,39.95,353.67,0.0,733.0,0.0,23.0
Eswatini,SWZ,99.78,1.199,0.0,0.0,0.0,258.65
Ethiopia,ETH,100.0,33.895,0.0,817.201,0.0,14942.83
Falkland Islands (Malvinas),FLK,26.44,0.123,0.0,4.252,0.0,0.0
Faroe Islands,FRO,38.08,0.177,0.0,54.1,0.0,100.3
Fiji,FJI,60.07,11.925,0.0,0.293,0.0,548.377
Finland,FIN,52.93,297.518,0.0,8239.905,266.829,15791.129
France,FRA,22.04,15732.436,0.0,36831.352,0.0,59624.978
French Guiana,GUF,69.08,56.535,0.0,0.0,0.0,586.117
French Polynesia,PYF,23.73,3.8,0.0,0.078,0.0,144.184
French Southern Territories,ATF,,,,,,
Gabon,GAB,53.95,0.68,0.0,0.0,0.0,982.387
Gambia,GMB,1.6,,,,,
Georgia,GEO,81.22,23.325,0.0,83.4,0.0,10182.1
Germany,DEU,39.23,49340.0,0.0,90272.0,24375.0,19658.0
Ghana,GHA,34.8,148.827,0.0,0.035,0.0,7521.0
Gibraltar,GIB,,,,,,
Greece,GRC,40.46,5250.978,0.0,10482.981,0.0,5903.466
Greenland,GRL,77.04,0.517,0.0,0.033,0.0,432.601
Grenada,GRD,1.97,4.373,0.0,0.224,0.0,0.0
Guadeloupe,GLP,33.84,113.803,0.0,106.68,0.0,11.442
Guam,GUM,4.8,83.197,0.0,0.5,0.0,0.0
Guatemala,GTM,73.31,241.14,0.0,323.795,0.0,5960.293
Guernsey,GGY,,,,,,
Guinea,GIN,88.13,22.525,0.0,0.0,0.0,2644.514
Guinea-Bissau,GNB,7.08,1.889,0.0,0.0,0.0,0.0
Guyana,GUY,7.11,13.587,0.0,0.35,0.0,0.005
Haiti,HTI,18.22,4.473,0.0,0.065,0.0,200.257
Heard Island and McDonald Islands,HMD,,,,,,
Holy See,VAT,,,,,,
Honduras,HND,62.69,1087.597,0.0,778.078,0.0,3760.175
Hong Kong,HKG,,,,,,
Hungary,HUN,19.14,3796.0,0.0,664.0,0.0,212.0
Iceland,ISL,99.99,5.419,0.0,6.087,0.0,13803.999
India,IND,18.89,65581.36,360.299,62272.48,0.0,156599.064
Indonesia,IDN,18.1,192.62,0.0,7.7,0.0,24697.0
Iran (Islamic Republic of),IRN,4.19,583.868,0.0,586.835,0.0,13890.932
Iraq,IRQ,5.27,376.545,0.0,0.0,0.0,4163.976
Ireland,IRL,36.44,92.98,0.0,9694.912,81.0,749.342
Isle of Man,IMN,,,,,,
Israel,ISR,7.62,4574.0,776.0,178.0,0.0,0.0
Italy,ITA,40.25,25038.99,12.475,20927.303,0.0,45388.164
Jamaica,JAM,12.76,132.252,0.0,264.55,0.0,137.69
Japan,JPN,20.14,86094.0,0.0,9324.0,105.0,78793.0
Jersey,JEY,,,,,,
Jordan,JOR,24.22,3712.973,0.0,1590.0,0.0,18.3
Kazakhstan,KAZ,11.0,1641.09,0.0,1776.41,0.0,9208.472
Kenya,KEN,88.13,422.205,0.0,82.8,0.0,3781.155
Kiribati,KIR,16.37,5.43,0.0,0.0,0.0,0.0
Korea (Democratic People's Republic of),PRK,,,,,,
"Korea, Republic of",KOR,,,,,,
Kuwait,KWT,0.26,72.719,70.676,70.676,0.0,0.0
Kyrgyzstan,KGZ,85.59,0.0,0.0,0.0,0.0,12957.141
Lao People's Democratic Republic,LAO,69.32,,,,,
Latvia,LVA,63.59,6.797,0.0,141.436,0.0,2707.796
Lebanon,LBN,3.49,111.712,0.0,0.0,0.0,378.767
Lesotho,LSO,99.79,0.783,0.0,0.0,0.0,531.415
Liberia,LBR,57.42,3.624,0.0,0.0,0.0,128.25
Libya,LBY,0.02,7.791,0.0,0.0,0.0,0.0
Liechtenstein,LIE,,,,,,
Lithuania,LTU,51.62,190.8,0.0,1361.7,0.0,383.7
Luxembourg,LUX,44.77,180.188,0.0,314.313,0.0,106.812
Macao,MAC,,,,,,
Madagascar,MDG,42.83,55.563,0.0,0.465,0.0,799.849
Malawi,MWI,80.06,128.3,0.0,0.0,0.0,1691.881
Malaysia,MYS,17.84,430.055,0.0,0.0,0.0,27302.291
Maldives,MDV,5.82,46.208,0.0,2.465,0.0,0.0
Mali,MLI,62.29,94.701,0.0,0.0,0.0,1702.191
Malta,MLT,11.88,255.946,0.0,0.058,0.0,0.0
Marshall Islands,MHL,2.43,,,,,
Martinique,MTQ,25.96,90.785,0.0,48.687,0.0,0.0
Mauritania,MRT,19.36,140.014,0.0,131.194,0.0,0.0
Mauritius,MUS,21.63,156.337,0.0,15.4,0.0,108.308
Mayotte,MYT,12.08,44.45,0.0,0.0,0.0,0.0
Mexico,MEX,21.07,20194.91,59.568,21074.87,0.0,34717.16
Micronesia (Federated States of),FSM,4.95,3.161,0.0,0.0,0.0,1.27
"Moldova, Republic of",MDA,,,,,,
Monaco,MCO,,,,,,
Mongolia,MNG,10.27,164.694,0.0,564.008,0.0,85.093
Montenegro,MNE,61.76,2.5,0.0,320.1,0.0,2010.1
Montserrat,MSR,10.29,1.606,0.0,0.0,0.0,0.0
Morocco,MAR,18.93,562.013,1285.793,5121.912,0.0,818.307
Mozambique,MOZ,84.52,71.342,0.0,0.0,0.0,15477.008
Myanmar,MMR,46.4,86.19,0.0,0.02,0.0,11891.0
Namibia,NAM,90.73,436.55,0.0,21.625,0.0,874.9
Nauru,NRU,9.83,4.68,0.0,0.0,0.0,0.0
Nepal,NPL,100.0,86.14,0.0,0.349,0.0,7917.835
Netherlands,NLD,33.14,,,,,
New Caledonia,NCL,22.48,187.647,0.0,41.042,0.0,424.917
New Zealand,NZL,81.44,207.0,0.0,2642.0,0.0,24232.0
Nicaragua,NIC,69.3,27.271,0.0,655.838,0.0,599.026
Niger,NER,8.1,,,,,
Nigeria,NGA,25.34,101.691,0.0,0.0,0.0,9153.807
Niue,NIU,13.83,0.469,0.0,0.0,0.0,0.0
Norfolk Island,NFK,,,,,,
North Macedonia,MKD,30.67,104.043,0.0,103.336,0.0,1451.623
Northern Mariana Islands,MNP,,,,,,
Norway,NOR,98.82,174.527,0.0,11764.184,5.0,143933.458
Oman,OMN,1.9,683.523,0.0,118.909,0.0,0.0
Pakistan,PAK,29.8,1164.816,0.0,3480.772,0.0,37526.373
Palau,PLW,5.13,4.472,0.0,0.0,0.0,0.0
"Palestine, State of",PSE,,,,,,
Panama,PAN,81.72,657.481,0.0,530.24,0.0,8154.34
Papua New Guinea,PNG,53.1,5.287,0.0,0.0,0.0,1010.733
Paraguay,PRY,100.0,0.752,0.0,0.035,0.0,40574.3
Peru,PER,61.67,861.181,0.0,1822.575,0.0,31925.681
Philippines,PHL,21.91,,,,,
Pitcairn,PCN,,,,,,
Poland,POL,17.03,3934.448,0.0,16233.547,0.0,2339.182
Portugal,PRT,61.87,2237.164,0.0,13164.175,51.439,11907.543
Puerto Rico,PRI,4.58,678.76,0.0,165.69,0.0,39.708
Qatar,QAT,0.27,8.364,0.0,0.0,0.0,0.0
Réunion,REU,,,,,,
Romania,ROU,44.3,1703.35,0.0,6575.55,0.0,17411.941
Russian Federation,RUS,21.58,,,,,
Rwanda,RWA,58.25,36.058,0.0,0.0,0.0,557.092
Saint Barthélemy,BLM,,,,,,
"Saint Helena, Ascension and Tristan da Cunha",SHN,,,,,,
Saint Kitts and Nevis,KNA,4.52,4.759,0.0,5.576,0.0,0.0
Saint Lucia,LCA,2.54,7.558,0.0,0.0,0.0,0.0
Saint Martin (French part),MAF,,,,,,
Saint Pierre and Miquelon,SPM,0.0,0.0,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,VCT,15.02,2.33,0.0,0.0,0.0,19.221
Samoa,WSM,49.14,23.008,0.0,0.199,0.0,46.85
San Marino,SMR,,,,,,
Sao Tome and Principe,STP,6.06,0.211,0.0,0.0,0.0,6.0
Saudi Arabia,SAU,0.07,112.336,148.92,5.694,0.0,0.0
Senegal,SEN,12.54,381.439,0.0,399.86,0.0,0.0
Serbia,SRB,33.11,59.399,0.0,1084.541,0.0,11284.41
Seychelles,SYC,4.51,14.974,0.0,5.079,0.0,0.0
Sierra Leone,SLE,75.28,6.176,0.0,0.0,0.0,228.167
Singapore,SGP,4.06,561.0,0.0,0.35,0.0,0.0
Sint Maarten (Dutch part),SXM,,,,,,
Slovakia,SVK,22.58,671.0,0.0,5.0,0.0,4258.0
Slovenia,SVN,34.32,453.113,0.0,5.593,0.0,4712.511
Solomon Islands,SLB,6.56,3.134,0.0,0.0,0.0,0.891
Somalia,SOM,11.21,36.719,0.0,6.22,0.0,0.0
South Africa,ZAF,5.16,6972.154,1554.002,266.0,0.0,1824.774
South Georgia and the South Sandwich Islands,SGS,,0.0,0.0,0.011,0.0,0.751
South Sudan,SSD,0.35,1.917,0.0,0.0,0.0,0.0
Spain,ESP,45.84,21922.0,5176.0,62050.0,11.0,29626.0
Sri Lanka,LKA,51.29,640.065,0.0,645.2,0.0,7215.493
Sudan,SDN,60.79,,,,,
Suriname,SUR,53.68,12.592,0.0,0.0,0.0,847.336
Svalbard and Jan Mayen,SJM,,,,,,
Sweden,SWE,67.37,1526.0,0.0,26697.0,547.0,73885.0
Switzerland,CHE,63.62,2842.0,0.0,146.0,0.0,36964.0
Syrian Arab Republic,SYR,3.28,,,,,
"Taiwan, Province of China",TWN,,,,,,
Tajikistan,TJK,92.77,0.0,0.0,0.0,0.0,19347.976
"Tanzania, United Republic of",TZA,,,,,,
Thailand,THA,18.75,5011.149,5.475,3555.921,0.0,4273.431
Timor-Leste,TLS,0.41,0.551,0.0,0.0,0.0,1.5
Togo,TGO,20.66,72.548,0.0,0.0,0.0,85.58
Tokelau,TKL,92.11,1.226,0.0,0.0,0.0,0.0
Tonga,TON,14.2,7.862,0.0,2.626,0.0,0.0
Trinidad and Tobago,TTO,0.07,6.228,0.0,0.027,0.0,0.0
Tunisia,TUN,2.9,164.001,0.0,425.1,0.0,28.2
Turkey,TUR,,,,,,
Turkmenistan,TKM,0.01,0.0,0.0,0.0,0.0,3.154
Turks and Caicos Islands,TCA,1.48,3.962,0.0,0.0,0.0,0.0
Tuvalu,TUV,15.81,1.528,0.0,0.0,0.0,0.0
Uganda,UGA,97.84,140.274,0.0,0.0,0.0,4279.218
Ukraine,UKR,11.44,7141.437,0.0,3510.607,0.0,5728.8
United Arab Emirates,ARE,4.19,,,,,
United Kingdom of Great Britain and Northern Ireland,GBR,,,,,,
United States of America,USA,19.8,,,,,
United States Minor Outlying Islands,UMI,,,,,,
Uruguay,URY,84.53,483.444,0.0,4991.309,0.0,5272.828
Uzbekistan,UZB,7.74,49.0,0.0,1.2,0.0,5000.0
Vanuatu,VUT,25.49,7.284,0.0,4.13,0.0,8.485
Venezuela (Bolivarian Republic of),VEN,84.24,8.647,0.0,89.43,0.0,62515.74
Viet Nam,VNM,42.79,25717.49,0.0,1816.429,576.771,75840.004
Virgin Islands (British),VGB,,,,,,
Virgin Islands (U.S.),VIR,,,,,,
Wallis and Futuna,WLF,,,,,,
Western Sahara,ESH,,,,,,
Yemen,YEM,16.88,497.396,0.0,0.0,0.0,0.0
Zambia,ZMB,92.02,160.558,0.0,0.0,0.0,16074.883
Zimbabwe,ZWE,71.26,59.232,0.0,0.0,0.0,6014.76
